point,temperature,humidity
강릉,25.6,81
강진군,26.9,81
강화,25.7,89
거제,24.9,85
거창,28.4,70
경주시,26.2,82
고산,24.7,88
고창,25.8,81
고창군,25.6,82
고흥,25.7,83
광양시,27.0,73
광주,27.5,90
구미,28.0,71
군산,26.7,83
금산,25.3,83
김해시,25.1,89
남원,26.7,79
남해,25.3,85
대관령,20.8,87
대구,28.4,78
대전,27.5,72
동두천,26.9,84
동해,22.7,97
목포,25.3,83
문경,26.3,78
밀양,27.5,72
백령도,24.6,93
보령,25.4,86
보성군,27.9,79
보은,24.9,86
봉화,25.6,79
부산,24.5,91
부안,25.2,86
부여,26.0,86
북강릉,22.3,94
북창원,25.9,84
북춘천,27.5,79
산청,27.1,80
상주,28.0,76
서귀포,25.5,87
서산,25.7,74
서울,28.7,72
성산,25.4,84
세종,27.6,71
속초,23.8,88
수원,26.4,72
순창군,27.0,79
순천,26.9,78
안동,27.7,72
양산시,26.8,82
양평,27.6,73
여수,25.8,81
영광군,24.6,84
영덕,22.8,92
영월,25.9,78
영주,26.6,72
영천,24.5,84
완도,26.5,81
울릉도,23.5,96
울산,23.8,92
울진,23.5,91
원주,28.1,69
의령군,27.7,79
의성,26.8,79
이천,27.2,78
인제,25.1,84
인천,26.4,74
임실,24.9,86
장수,23.9,92
장흥,26.6,87
전주,26.7,77
정선군,25.4,79
정읍,24.5,80
제주,26.0,79
제천,24.3,92
진도군,24.1,89
진주,26.3,84
창원,24.6,83
천안,26.3,80
철원,26.7,79
청송군,24.5,77
청주,29.1,66
추풍령,25.5,80
춘천,29.1,83
충주,26.1,80
태백,22.4,93
통영,24.2,88
파주,26.0,88
포항,24.3,89
함양군,27.5,90
합천,28.6,74
해남,25.6,87
홍성,26.6,85
홍천,26.9,77
흑산도,23.0,99
